Composition = 65% Dunite, 35% Water
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.38,4.0,0.30300447343659404
1.38,4.2,0.304292348695959
1.38,4.4,0.30558021892745807
1.38,4.6,0.3068680841307868
1.38,4.8,0.30815594430564175
1.38,5.0,0.3094437994517186
1.38,5.2,0.31073164956871363
1.38,5.4,0.3120194946563234
1.38,5.6,0.31330733471424416
1.38,5.8,0.3145951697421723
1.38,6.0,0.31588299973980455
1.38,6.2,0.31717082470683733
1.38,6.4,0.3184586446429677
1.38,6.6,0.3197464595478924
1.38,6.8,0.3210342694213082
1.38,7.0,0.3223220742629123
1.38,7.2,0.3236098740724017
1.38,7.4,0.32489766884947374
1.38,7.6,0.3261854585938255
1.38,7.8,0.3274732433051546
1.38,8.0,0.3287610229831583
1.38,8.2,0.33004879762753425
1.38,8.4,0.33133656723798016
1.38,8.6,0.33262433181419365
1.38,8.8,0.3339120913558726
1.38,9.0,0.33519984586271495
1.38,9.2,0.3364875953344187
1.38,9.4,0.33777533977068197
1.38,9.6,0.3390630791712029
1.38,9.8,0.3403508135356797
1.38,10.0,0.3416385428638108
1.38,10.2,0.34292626715529473
1.38,10.4,0.3442139864098301
1.38,10.6,0.34682531547746304
1.38,10.8,0.3656105916962645
1.38,11.0,0.3839327987034207
1.38,11.2,0.4023782549630962
1.38,11.4,0.43953718189874585
1.38,11.6,0.47864258614713795
1.38,11.8,0.5214823530515984
1.38,12.0,0.572996062020102
1.38,12.2,0.6276502034746008
1.38,12.4,0.6875824280893206
1.38,12.6,0.7510574188223487
1.38,12.8,0.8189077852254704
1.38,13.0,0.8902095293227761
1.38,13.2,0.9643583448363954
1.38,13.4,1.0418924032970707
1.38,13.6,1.122744327724735
1.38,13.8,1.206118380111504
1.38,14.0,1.29204492377014
1.38,14.2,1.3803846559287554
1.38,14.4,1.4709805996875174
1.38,14.6,1.5638002662218957
1.38,14.8,1.6586294483237813
1.38,15.0,1.7553436885920695
1.46,-4.4,0.24836695064604003
1.46,-4.2,0.24966216710527686
1.46,-4.0,0.25095737844980676
1.46,-3.8,0.2522525846793135
1.46,-3.6,0.2535477857934801
1.46,-3.4,0.2548429817919902
1.46,-3.2,0.2561381726745277
1.46,-3.0,0.25743335844077614
1.46,-2.8,0.2587285390904194
1.46,-2.6,0.2600237146231414
1.46,-2.4,0.2613188850386262
1.46,-2.2,0.26261405033655794
1.46,-2.0,0.2639092105166207
1.46,-1.8,0.26520436557849886
1.46,-1.6,0.26649951552187673
1.46,-1.4,0.267794660346439
1.46,-1.2,0.26908980005187
1.46,-1.0,0.27038493463785457
1.46,-0.8,0.2716800641040774
1.46,-0.6,0.27297518845022334
1.46,-0.4,0.2742703076759772
1.46,-0.2,0.2755654217810242
1.46,0.0,0.2768605307650496
1.46,0.2,0.27815563462773835
1.46,0.4,0.27945073336877585
1.46,0.6,0.28074582698784745
1.46,0.8,0.2820409154846387
1.46,1.0,0.28333599885883526
1.46,1.2,0.2846310771101228
1.46,1.4,0.2859261502381871
1.46,1.6,0.28722121824271396
1.46,1.8,0.2885162811233893
1.46,2.0,0.28981133887989935
1.46,2.2,0.2911063915119302
1.46,2.4,0.29240143901916793
1.46,2.6,0.293696481401299
1.46,2.8,0.29499151865800993
1.46,3.0,0.2962865507889871
1.46,3.2,0.29758157779391714
1.46,3.4,0.2988765996724868
1.46,3.6,0.30017161642438295
1.46,3.8,0.30146662804929236
1.46,4.0,0.3027616345469021
1.46,4.2,0.30405663591689913
1.46,4.4,0.30535163215897065
1.46,4.6,0.30664662327280406
1.46,4.8,0.30794160925808667
1.46,5.0,0.3092365901145059
1.46,5.2,0.3105315658417492
1.46,5.4,0.31182653643950425
1.46,5.6,0.31312150190745897
1.46,5.8,0.31441646224530095
1.46,6.0,0.3157114174527182
1.46,6.2,0.31700636752939887
1.46,6.4,0.31830131247503074
1.46,6.6,0.3195962522893023
1.46,6.8,0.3208911869719018
1.46,7.0,0.32218611652251744
1.46,7.2,0.3234810409408378
1.46,7.4,0.3247759602265516
1.46,7.6,0.32607087437934723
1.46,7.8,0.32736578339891376
1.46,8.0,0.32866068728493975
1.46,8.2,0.3299555860371145
1.46,8.4,0.3312504796551266
1.46,8.6,0.3325453681386655
1.46,8.8,0.3338402514874202
1.46,9.0,0.3351351297010803
1.46,9.2,0.3364300027793351
1.46,9.4,0.33772487072187407
1.46,9.6,0.33901973352838666
1.46,9.8,0.34031459119856294
1.46,10.0,0.3416094437320924
1.46,10.2,0.34290429112866505
1.46,10.4,0.3441991333879708
1.46,10.6,0.3468168708013795
1.46,10.8,0.3656045431448148
1.46,11.0,0.3839293473340588
1.46,11.2,0.40237740898693125
1.46,11.4,0.43953659313447535
1.46,11.6,0.4786422977376419
1.46,11.8,0.5214823324629791
1.46,12.0,0.5729960503451733
1.46,12.2,0.6276501984568682
1.46,12.4,0.6875824253660628
1.46,12.6,0.7510574174913073
1.46,12.8,0.8189077845766166
1.46,13.0,0.890209528996475
1.46,13.2,0.9643583446900642
1.46,13.4,1.0418924032278063
1.46,13.6,1.1227443276902371
1.46,13.8,1.2061183800953947
1.46,14.0,1.2920449237624931
1.46,14.2,1.380384655925103
1.46,14.4,1.470980599685815
