Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.22,-6.0,0.004492559220066903
1.22,-5.8,0.004492559220066903
1.22,-5.6,0.004492559220066903
1.22,-5.4,0.004492559220066903
1.22,-5.2,0.004492559220066903
1.22,-5.0,0.004492559220066903
1.22,-4.8,0.004492559220066903
1.22,-4.6,0.004492559220066903
1.22,-4.4,0.004492559220066903
1.22,-4.2,0.004492559220066903
1.22,-4.0,0.004492559220066903
1.22,-3.8,0.005802218938493278
1.22,-3.6,0.007111878656919509
1.22,-3.4,0.008421538375345894
1.22,-3.2,0.009731198093772193
1.22,-3.0,0.011040857812198508
1.22,-2.8,0.012350517530624754
1.22,-2.6,0.013660177249051088
1.22,-2.4,0.014969836967477364
1.22,-2.2,0.01627949668590368
1.22,-2.0,0.01758915640433
1.22,-1.8,0.01889881612275637
1.22,-1.6,0.02020847584118267
1.22,-1.4,0.02151813555960894
1.22,-1.2,0.022827795278035256
1.22,-1.0,0.024137454996461517
1.22,-0.8,0.025447114714887826
1.22,-0.6,0.02675677443331415
1.22,-0.4,0.02806643415174051
1.22,-0.2,0.029376093870166816
1.22,0.0,0.030685753588593108
1.22,0.2,0.03199541330701938
1.22,0.4,0.03330507302544575
1.22,0.6,0.03461473274387201
1.22,0.8,0.035924392462298324
1.22,1.0,0.03723405218072467
1.22,1.2,0.03854371189915091
1.22,1.4,0.039853371617577266
1.22,1.6,0.0411630313360036
1.22,1.8,0.042472691054429836
1.22,2.0,0.04378235077285616
1.22,2.2,0.0450920104912825
1.22,2.4,0.046401670209708805
1.22,2.6,0.047711329928135114
1.22,2.8,0.04902098964656141
1.22,3.0,0.050330649364987746
1.22,3.2,0.051640309083414
1.22,3.4,0.05294996880184032
1.22,3.6,0.054259628520266646
1.22,3.8,0.05556928823869297
1.22,4.0,0.056878947957119265
1.22,4.2,0.058188607675545616
1.22,4.4,0.05949826739397193
1.22,4.6,0.06080792711239822
1.22,4.8,0.06211758683082451
1.22,5.0,0.06342724654925082
1.22,5.2,0.06473690626767713
1.22,5.4,0.06604656598610346
1.22,5.6,0.06735622570452972
1.22,5.8,0.06866588542295601
1.22,6.0,0.06997554514138234
1.22,6.2,0.07128520485980863
1.22,6.4,0.07259486457823497
1.22,6.6,0.07390452429666128
1.22,6.8,0.07521418401508756
1.22,7.0,0.0765238437335139
1.22,7.2,0.07783350345194019
1.22,7.4,0.0791431631703665
1.22,7.6,0.08045282288879278
1.22,7.8,0.08176248260721912
1.22,8.0,0.08307214232564546
1.22,8.2,0.08438180204407174
1.22,8.4,0.08569146176249808
1.22,8.6,0.08700112148092433
1.22,8.8,0.08831078119935068
1.22,9.0,0.08962044091777699
