Composition = 80% Sio2, 20% Water
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.38,-5.2,0.2905013483269237
1.38,-5.0,0.2905013483269237
1.38,-4.8,0.2905013483269237
1.38,-4.6,0.2905013483269237
1.38,-4.4,0.2905013483269237
1.38,-4.2,0.2905013483269237
1.38,-4.0,0.2905013483269237
1.38,-3.8,0.29176945656284103
1.38,-3.6,0.29303756020924604
1.38,-3.4,0.2943056592663572
1.38,-3.2,0.2955737537343927
1.38,-3.0,0.29684184361357113
1.38,-2.8,0.2981099289041112
1.38,-2.6,0.2993780096062315
1.38,-2.4,0.30064608572015106
1.38,-2.2,0.3019141572460886
1.38,-2.0,0.30318222418426277
1.38,-1.8,0.304450286534893
1.38,-1.6,0.30571834429819833
1.38,-1.4,0.3069863974743979
1.38,-1.2,0.30825444606371094
1.38,-1.0,0.3095224900663572
1.38,-0.8,0.3107905294825557
1.38,-0.6,0.31205856431252627
1.38,-0.4,0.3133265945564884
1.38,-0.2,0.31459462021466206
1.38,0.0,0.3158626412872667
1.38,0.2,0.31713065777452265
1.38,0.4,0.31839866967664954
1.38,0.6,0.3196666769938677
1.38,0.8,0.3209346797263971
1.38,1.0,0.3222026778744581
1.38,1.2,0.3234706714382711
1.38,1.4,0.3247386604180564
1.38,1.6,0.3260066448140344
1.38,1.8,0.32727462462642604
1.38,2.0,0.32854259985545176
1.38,2.2,0.3298105705013323
1.38,2.4,0.3310785365642886
1.38,2.6,0.3323464980445417
1.38,2.8,0.3336144549423124
1.38,3.0,0.3348824072578218
1.38,3.2,0.33615035499129126
1.38,3.4,0.3374182981429421
1.38,3.6,0.33868623671299564
1.38,3.8,0.33995417070167333
1.38,4.0,0.34122210010919646
1.38,4.2,0.34249002493578706
1.38,4.4,0.34375794518166664
1.38,4.6,0.3450258608470569
1.38,4.8,0.3462937719321799
1.38,5.0,0.3475616784372576
1.38,5.2,0.348829580362512
1.38,5.4,0.35009747770816513
1.38,5.6,0.3513653704744396
1.38,5.8,0.35263325866155715
1.38,6.0,0.3539011422697408
1.38,6.2,0.3551690212992125
1.38,6.4,0.35643689575019505
1.38,6.6,0.3577047656229112
1.38,6.8,0.3589726309175836
1.38,7.0,0.36024049163443506
1.38,7.2,0.36150834777368857
1.38,7.4,0.36277619933556704
1.38,7.6,0.3640440463202933
1.38,7.8,0.36531188872809117
1.38,8.0,0.3665797265591834
1.38,8.2,0.3678475598137934
1.38,8.4,0.3691153884921448
1.38,8.6,0.3703832125944609
1.38,8.8,0.37165103212096534
1.38,9.0,0.37291884707188194
1.38,9.2,0.3741866574474343
1.38,9.4,0.3754544632478464
1.38,9.6,0.376722264473342
1.38,9.8,0.3779900611241455
1.38,10.0,0.3792578532004805
1.38,10.2,0.38052564070257155
1.38,10.4,0.3817934236306429
1.38,10.6,0.38388540363579515
1.38,10.8,0.39595881596388754
1.38,11.0,0.4075845884684752
1.38,11.2,0.41976835364962434
1.38,11.4,0.45629165548380923
1.38,11.6,0.4940331730685632
1.38,11.8,0.5342949898369905
1.38,12.0,0.5846004296126694
1.38,12.2,0.6367510106397462
1.38,12.4,0.6958954485019049
1.38,12.6,0.7575597542151834
1.38,12.8,0.824243736489934
1.38,13.0,0.8942933973779004
1.38,13.2,0.9672896240410653
1.38,13.4,1.0438351245476276
1.38,13.6,1.1237742402299717
1.38,13.8,1.2063269963568846
1.38,14.0,1.2914576949324836
1.38,14.2,1.3790813149625785
1.38,14.4,1.4690839986599682
1.38,14.6,1.5614733186792014
1.38,14.8,1.6559545720772877
1.38,15.0,1.7523607093442837
1.38,15.2,1.8505748579268329
1.38,15.4,1.9504802390422726
1.46,-6.0,0.28998472474452347
1.46,-5.8,0.28998472474452347
1.46,-5.6,0.28998472474452347
1.46,-5.4,0.28998472474452347
1.46,-5.2,0.28998472474452347
1.46,-5.0,0.28998472474452347
1.46,-4.8,0.28998472474452347
1.46,-4.6,0.28998472474452347
1.46,-4.4,0.28998472474452347
1.46,-4.2,0.28998472474452347
1.46,-4.0,0.28998472474452347
1.46,-3.8,0.2912597526727133
1.46,-3.6,0.2925347759172143
1.46,-3.4,0.2938097944782512
1.46,-3.2,0.2950848083560494
1.46,-3.0,0.29635981755083396
1.46,-2.8,0.2976348220628303
1.46,-2.6,0.29890982189226384
1.46,-2.4,0.3001848170393602
1.46,-2.2,0.3014598075043446
1.46,-2.0,0.3027347932874429
1.46,-1.8,0.304009774388881
1.46,-1.6,0.3052847508088846
1.46,-1.4,0.3065597225476798
1.46,-1.2,0.30783468960549265
1.46,-1.0,0.309109651982549
1.46,-0.8,0.31038460967907544
1.46,-0.6,0.311659562695298
1.46,-0.4,0.3129345110314432
1.46,-0.2,0.3142094546877376
1.46,0.0,0.3154843936644076
1.46,0.2,0.31675932796168
