Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc), log entropy (log os jrk/g*kev)
1.38,6.2,0.07096507846359434,-4.455371337735798
1.38,6.4,0.07228933776456238,-4.456813888111309
1.38,6.6,0.0736135970655304,-4.458256438486822
1.38,6.8,0.07493785636649847,-4.4596989888623355
1.38,7.0,0.07626211566746648,-4.461141539237848
1.38,7.2,0.07758637496843457,-4.46258408961336
1.38,7.4,0.07891063426940262,-4.464026639988873
1.38,7.6,0.0802348935703706,-4.465469190364385
1.38,7.8,0.08155915287133872,-4.466911740739898
1.38,8.0,0.08288341217230667,-4.468354291115411
1.38,8.2,0.08420767147327479,-4.469796841490923
1.38,8.4,0.08553193077424283,-4.471239391866436
1.38,8.6,0.08685619007521081,-4.472681942241948
1.38,8.8,0.08818044937617889,-4.47412449261746
1.38,9.0,0.08950470867714691,-4.4755670429929735
1.38,9.2,0.09082896797811496,-4.477009593368486
1.38,9.4,0.09215322727908302,-4.478452143743998
1.38,9.6,0.09347748658005102,-4.47989469411951
1.38,9.8,0.09480174588101911,-4.481337244495023
1.38,10.0,0.09612600518198709,-4.4827797948705355
1.38,10.2,0.09745026448295513,-4.484222345246048
1.38,10.4,0.09877452378392321,-4.485664895621561
1.38,10.6,0.10225009926674096,-4.49008938299879
1.38,10.8,0.13241431180837643,-4.5315073124386105
1.38,11.0,0.16257852435001158,-4.572925241878431
1.38,11.2,0.19274273689164675,-4.614343171318252
1.38,11.4,0.23501611798356659,-4.660338671433931
1.38,11.6,0.2811258642120155,-4.707784414177299
1.38,11.8,0.33322715338822967,-4.755113363074274
1.38,12.0,0.3894805505343647,-4.802361374254697
1.38,12.2,0.45185323264533195,-4.84958386634795
1.38,12.4,0.5171099741987467,-4.897004866287979
1.38,12.6,0.5869140548139076,-4.945055294191206
1.38,12.8,0.6608125461357981,-4.994279251445315
1.38,13.0,0.7377195693484377,-5.044613189255735
1.38,13.2,0.817703687281548,-5.096272019521565
1.38,13.4,0.9006963450441883,-5.149429947601043
1.38,13.6,0.9870161812772615,-5.20445616026319
1.38,13.8,1.0758768047294955,-5.261042312838403
1.38,14.0,1.1671437899277814,-5.3191735368664546
1.38,14.2,1.2606848997979403,-5.378829614948771
1.38,14.4,1.3563566095859723,-5.43996251052628
1.38,14.6,1.454011977429984,-5.502517068106558
1.38,14.8,1.5535057324193442,-5.566419171688245
1.38,15.0,1.6546975520022371,-5.631594336386993
1.38,15.2,1.757453930280171,-5.697958645917367
1.38,15.4,1.8616494367612733,-5.765441166258216
1.38,15.6,1.9671673359214215,-5.833962152950901
1.46,-6.0,0.002881633924930616,-4.225532165902452
1.46,-5.8,0.002881633924930616,-4.225532165902452
1.46,-5.6,0.002881633924930616,-4.225532165902452
1.46,-5.4,0.002881633924930616,-4.225532165902452
1.46,-5.2,0.002881633924930616,-4.225532165902452
1.46,-5.0,0.002881633924930616,-4.225532165902452
1.46,-4.8,0.002881633924930616,-4.225532165902452
1.46,-4.6,0.002881633924930616,-4.225532165902452
1.46,-4.4,0.002881633924930616,-4.225532165902452
1.46,-4.2,0.002881633924930616,-4.225532165902452
1.46,-4.0,0.002881633924930616,-4.225532165902452
1.46,-3.8,0.004213382984186915,-4.227216753540042
1.46,-3.6,0.005545132043443129,-4.228901341177632
1.46,-3.4,0.0068768811026992775,-4.2305859288152226
1.46,-3.2,0.00820863016195551,-4.232270516452812
1.46,-3.0,0.009540379221211759,-4.233955104090402
1.46,-2.8,0.010872128280467979,-4.235639691727992
1.46,-2.6,0.012203877339724212,-4.237324279365581
1.46,-2.4,0.013535626398980477,-4.239008867003172
1.46,-2.2,0.014867375458236683,-4.240693454640762
1.46,-2.0,0.016199124517492922,-4.242378042278351
1.46,-1.8,0.017530873576749133,-4.244062629915941
1.46,-1.6,0.01886262263600531,-4.245747217553531
1.46,-1.4,0.02019437169526157,-4.247431805191121
1.46,-1.2,0.021526120754517847,-4.249116392828711
1.46,-1.0,0.022857869813774027,-4.250800980466301
1.46,-0.8,0.02418961887303024,-4.252485568103891
1.46,-0.6,0.025521367932286456,-4.25417015574148
1.46,-0.4,0.02685311699154267,-4.2558547433790705
1.46,-0.2,0.028184866050798913,-4.257539331016661
1.46,0.0,0.02951661511005514,-4.25922391865425
1.46,0.2,0.030848364169311422,-4.26090850629184
1.46,0.4,0.0321801132285676,-4.262593093929431
1.46,0.6,0.0335118622878238,-4.2642776815670205
1.46,0.8,0.034843611347080014,-4.26596226920461
1.46,1.0,0.03617536040633625,-4.2676468568422
1.46,1.2,0.037507109465592464,-4.26933144447979
1.46,1.4,0.03883885852484877,-4.271016032117379
1.46,1.6,0.04017060758410494,-4.2727006197549695
1.46,1.8,0.041502356643361146,-4.27438520739256
1.46,2.0,0.0428341057026174,-4.27606979503015
1.46,2.2,0.044165854761873596,-4.27775438266774
1.46,2.4,0.045497603821129835,-4.279438970305329
1.46,2.6,0.04682935288038605,-4.281123557942919
1.46,2.8,0.04816110193964232,-4.282808145580509
1.46,3.0,0.04949285099889858,-4.2844927332181
1.46,3.2,0.05082460005815478,-4.286177320855689
1.46,3.4,0.052156349117410954,-4.287861908493279
1.46,3.6,0.053488098176667234,-4.289546496130869
1.46,3.8,0.05481984723592343,-4.291231083768459
1.46,4.0,0.056151596295179684,-4.292915671406049
1.46,4.2,0.05748334535443592,-4.294600259043639
1.46,4.4,0.05881509441369208,-4.296284846681228
