Composition = 24% Fe, 76% SiO2
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.3,0.8,0.5140155172379567
1.3,1.0,0.5152382359465961
1.3,1.2,0.5164609543807461
1.3,1.4,0.5176836725403868
1.3,1.6,0.5189063904254988
1.3,1.8,0.5201291080360622
1.3,2.0,0.5213518253720577
1.3,2.2,0.5225745424334656
1.3,2.4,0.523797259220266
1.3,2.6,0.5250199757324396
1.3,2.8,0.5262426919699669
1.3,3.0,0.5274654079328278
1.3,3.2,0.5286881236210029
1.3,3.4,0.5299108390344728
1.3,3.6,0.5311335541732176
1.3,3.8,0.5323562690372177
1.3,4.0,0.5335789836264534
1.3,4.2,0.5348016979409053
1.3,4.4,0.5360244119805535
1.3,4.6,0.5372471257453787
1.3,4.8,0.5384698392353608
1.3,5.0,0.5396925524504808
1.3,5.2,0.5409152653907185
1.3,5.4,0.5421379780560546
1.3,5.6,0.543360690446469
1.3,5.8,0.5445834025619428
1.3,6.0,0.5458061144024555
1.3,6.2,0.5470288259679883
1.3,6.4,0.5482515372585209
1.3,6.6,0.549474248274034
1.3,6.8,0.5506969590145079
1.3,7.0,0.5519196694799229
1.3,7.2,0.5531423796702595
1.3,7.4,0.5543650895854975
1.3,7.6,0.555587799225618
1.3,7.8,0.556810508590601
1.3,8.0,0.5580332176804269
1.3,8.2,0.5592559264950758
1.3,8.4,0.5604786350345285
1.3,8.6,0.5617013432987652
1.3,8.8,0.5629240512877659
1.3,9.0,0.5641467590015115
1.3,9.2,0.5653694664399818
1.3,9.4,0.5665921736031572
1.3,9.6,0.5678148804910186
1.3,9.8,0.5690375871035458
1.3,10.0,0.5702602934407193
1.3,10.2,0.5714829995025192
1.3,10.4,0.5727057052889264
1.3,10.6,0.5739284107999207
1.3,10.8,0.575151116035483
1.3,11.0,0.5763738209955929
1.3,11.2,0.5789632382435577
1.3,11.4,0.6095100199226228
1.3,11.6,0.6398423182354495
1.3,11.8,0.6715551268578233
1.3,12.0,0.7175719873708191
1.3,12.2,0.7635449210342771
1.3,12.4,0.8176753416244795
1.3,12.6,0.8744431086239781
1.3,12.8,0.9360680706891829
1.3,13.0,1.0017542037461704
1.3,13.2,1.0702080977409967
1.3,13.4,1.1425491981925129
1.3,13.6,1.2183247057850985
1.3,13.8,1.2967267088480874
1.3,14.0,1.377926652732278
1.3,14.2,1.4617664529931766
1.3,14.4,1.5480665111154976
1.3,14.6,1.6368784055033765
1.3,14.8,1.7279178724800814
1.3,15.0,1.8210627773490011
1.38,-6.0,0.48418119981646346
1.38,-5.8,0.48418119981646346
1.38,-5.6,0.48418119981646346
1.38,-5.4,0.48418119981646346
1.38,-5.2,0.48418119981646346
1.38,-5.0,0.48418119981646346
1.38,-4.8,0.48418119981646346
1.38,-4.6,0.48418119981646346
1.38,-4.4,0.48418119981646346
1.38,-4.2,0.48418119981646346
1.38,-4.0,0.48418119981646346
1.38,-3.8,0.48541034176966313
1.38,-3.6,0.486639483445818
1.38,-3.4,0.4878686248449078
1.38,-3.2,0.48909776596691257
1.38,-3.0,0.49032690681181246
1.38,-2.8,0.4915560473795877
1.38,-2.6,0.49278518767021795
1.38,-2.4,0.49401432768368386
1.38,-2.2,0.49524346741996517
1.38,-2.0,0.49647260687904193
1.38,-1.8,0.49770174606089435
1.38,-1.6,0.4989308849655023
1.38,-1.4,0.5001600235928461
1.38,-1.2,0.5013891619429058
1.38,-1.0,0.5026183000156613
1.38,-0.8,0.5038474378110929
1.38,-0.6,0.5050765753291803
1.38,-0.4,0.506305712569904
1.38,-0.2,0.5075348495332437
1.38,0.0,0.5087639862191795
1.38,0.2,0.5099931226276919
1.38,0.4,0.5112222587587605
1.38,0.6,0.5124513946123656
1.38,0.8,0.513680530188487
1.38,1.0,0.5149096654871049
1.38,1.2,0.5161388005081997
1.38,1.4,0.517367935251751
1.38,1.6,0.5185970697177389
1.38,1.8,0.5198262039061435
1.38,2.0,0.5210553378169451
1.38,2.2,0.5222844714501236
1.38,2.4,0.5235136048056589
1.38,2.6,0.5247427378835312
1.38,2.8,0.5259718706837204
1.38,3.0,0.5272010032062067
1.38,3.2,0.5284301354509702
1.38,3.4,0.5296592674179909
1.38,3.6,0.5308883991072487
1.38,3.8,0.5321175305187238
1.38,4.0,0.5333466616523961
1.38,4.2,0.5345757925082457
1.38,4.4,0.5358049230862529
1.38,4.6,0.5370340533863972
1.38,4.8,0.5382631834086593
1.38,5.0,0.5394923131530187
1.38,5.2,0.5407214426194555
1.38,5.4,0.5419505718079501
1.38,5.6,0.5431797007184823
1.38,5.8,0.544408829351032
1.38,6.0,0.5456379577055795
1.38,6.2,0.5468670857821045
1.38,6.4,0.5480962135805874
1.38,6.6,0.549325341101008
1.38,6.8,0.5505544683433463
1.38,7.0,0.5517835953075825
1.38,7.2,0.5530127219936966
1.38,7.4,0.5542418484016685
1.38,7.6,0.555470974531478
1.38,7.8,0.5567001003831058
1.38,8.0,0.5579292259565315
1.38,8.2,0.5591583512517349
1.38,8.4,0.5603874762686964
1.38,8.6,0.561616601007396
1.38,8.8,0.5628457254678134
1.38,9.0,0.5640748496499289
1.38,9.2,0.5653039735537224
1.38,9.4,0.5665330971791741
1.38,9.6,0.5677622205262638
1.38,9.8,0.5689913435949715
1.38,10.0,0.5702204663852772
1.38,10.2,0.5714495888971611
1.38,10.4,0.5726787111306031
1.38,10.6,0.5739078330855834
1.38,10.8,0.5751369547620816
1.38,11.0,0.576366076160078
1.38,11.2,0.5789615614417677
1.38,11.4,0.6095088654121815
1.38,11.6,0.639841763604871
1.38,11.8,0.6715551131914441
1.38,12.0,0.7175719782044973
1.38,12.2,0.763544916398336
1.38,12.4,0.8176753388528224
1.38,12.6,0.8744431074989989
1.38,12.8,0.936068070195988
1.38,13.0,1.0017542035153755
1.38,13.2,1.0702080976358055
1.38,13.4,1.1425491981426616
1.38,13.6,1.2183247057603874
1.38,13.8,1.2967267088369159
1.38,14.0,1.3779266527270808
1.38,14.2,1.4617664529907315
1.38,14.4,1.5480665111143856
1.38,14.6,1.6368784055028691
1.38,14.8,1.7279178724798485
1.38,15.0,1.8210627773488892
1.46,-6.0,0.4836829725763345
1.46,-5.8,0.4836829725763345
1.46,-5.6,0.4836829725763345
1.46,-5.4,0.4836829725763345
1.46,-5.2,0.4836829725763345
1.46,-5.0,0.4836829725763345
1.46,-4.8,0.4836829725763345
1.46,-4.6,0.4836829725763345
1.46,-4.4,0.4836829725763345
1.46,-4.2,0.4836829725763345
1.46,-4.0,0.4836829725763345
1.46,-3.8,0.48491865233076964
1.46,-3.6,0.4861543318053506
1.46,-3.4,0.4873900110000573
1.46,-3.2,0.48862568991486943
1.46,-3.0,0.48986136854976686
1.46,-2.8,0.4910970469047293
1.46,-2.6,0.49233272497973635
1.46,-2.4,0.49356840277476827
1.46,-2.2,0.49480408028980444
1.46,-2.0,0.49603975752482465
1.46,-1.8,0.49727543447980893
1.46,-1.6,0.4985111111547368
1.46,-1.4,0.499746787549588
1.46,-1.2,0.5009824636643424
1.46,-1.0,0.50221813949898
1.46,-0.8,0.5034538150534802
1.46,-0.6,0.504689490327823
1.46,-0.4,0.5059251653219878
1.46,-0.2,0.5071608400359547
1.46,0.0,0.5083965144697035
1.46,0.2,0.5096321886232138
1.46,0.4,0.5108678624964653
1.46,0.6,0.5121035360894379
1.46,0.8,0.5133392094021114
1.46,1.0,0.5145748824344655
1.46,1.2,0.5158105551864798
1.46,1.4,0.5170462276581342
1.46,1.6,0.5182818998494085
1.46,1.8,0.5195175717602822
1.46,2.0,0.5207532433907355
1.46,2.2,0.5219889147407478
1.46,2.4,0.5232245858102988
1.46,2.6,0.5244602565993685
1.46,2.8,0.5256959271079364
1.46,3.0,0.5269315973359824
1.46,3.2,0.5281672672834863
1.46,3.4,0.5294029369504276
1.46,3.6,0.5306386063367863
1.46,3.8,0.5318742754425421
1.46,4.0,0.5331099442676744
1.46,4.2,0.5343456128121634
