Composition = 95% Water, 5% env
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.3,3.8,-3.753697940029524
1.3,4.0,-3.55363511400176
1.3,4.2,-3.353793785796641
1.3,4.4,-3.1543862228462984
1.3,4.6,-2.9575297895488863
1.3,4.8,-2.770141691938929
1.3,5.0,-2.6053198335245003
1.3,5.2,-2.4699565717310557
1.3,5.4,-2.3590874864616764
1.3,5.6,-2.264062452448355
1.3,5.8,-2.178576013809944
1.38,-6.0,-13.633617948725837
1.38,-5.8,-13.43360201039933
1.38,-5.6,-13.233617948725852
1.38,-5.4,-13.03360201039935
1.38,-5.2,-12.833617948725887
1.38,-5.0,-12.633617948725924
1.38,-4.8,-12.433602010399465
1.38,-4.6,-12.233617948726067
1.38,-4.4,-12.033602010399692
1.38,-4.2,-11.833617948726427
1.38,-4.0,-11.63361794872678
1.38,-3.8,-11.433602010400818
1.38,-3.6,-11.233617948728204
1.38,-3.4,-11.033602010403067
1.38,-3.2,-10.833617948731758
1.38,-3.0,-10.6336179487352
1.38,-2.8,-10.433602010414123
1.38,-2.6,-10.233617948749226
1.38,-2.4,-10.033602010436287
1.38,-2.2,-9.833617948784244
1.38,-2.0,-9.63361794881813
1.38,-1.8,-9.433602010545165
1.38,-1.6,-9.233617948956274
1.38,-1.4,-9.033602010763449
1.38,-1.2,-8.833617949301164
1.38,-1.0,-8.6336179496349
1.38,-0.8,-8.433602011835761
1.38,-0.6,-8.233617950995429
1.38,-0.4,-8.03360201398557
1.38,-0.2,-7.833617954392149
1.38,0.0,-7.633617957679
1.38,0.2,-7.4336020245464525
1.38,0.4,-7.233617971078446
1.38,0.6,-7.033602045719263
1.38,0.8,-6.8336180045316945
1.38,1.0,-6.633618036902881
1.38,1.2,-6.433602149730149
1.38,1.4,-6.233618168869903
1.38,1.6,-6.033618296568356
1.38,1.8,-5.833618498340501
1.38,2.0,-5.633618817153993
1.38,2.2,-5.433603382624315
1.38,2.4,-5.233620116852899
1.38,2.6,-5.0336213745087806
1.38,2.8,-4.833623361683001
1.38,3.0,-4.633626501534596
1.38,3.2,-4.433615524836374
1.38,3.4,-4.233639301477197
1.38,3.6,-4.033651687041007
1.38,3.8,-3.8336712563524196
1.38,4.0,-3.6336181331092505
1.38,4.2,-3.433682931874003
1.38,4.4,-3.233960021822785
1.38,4.6,-3.03536497358615
1.38,4.8,-2.8417494996640453
1.38,5.0,-2.66320954160838
1.38,5.2,-2.51153082707438
1.38,5.4,-2.3874896103822247
1.38,5.6,-2.283677883709878
1.38,5.8,-2.192303869884392
1.46,-6.0,-13.713533890137597
1.46,-5.8,-13.513533890137603
1.46,-5.6,-13.313633890137611
1.46,-5.4,-13.113533890137623
1.46,-5.2,-12.91363389013764
1.46,-5.0,-12.71353389013767
1.46,-4.8,-12.513533890137717
1.46,-4.6,-12.31363389013779
1.46,-4.4,-12.113533890137907
1.46,-4.2,-11.913633890138092
1.46,-4.0,-11.713533890138383
1.46,-3.8,-11.513533890138843
1.46,-3.6,-11.31363389013957
1.46,-3.4,-11.113533890140717
1.46,-3.2,-10.913633890142531
1.46,-3.0,-10.713533890145396
1.46,-2.8,-10.513533890149924
1.46,-2.6,-10.313633890157075
1.46,-2.4,-10.113533890168382
1.46,-2.2,-9.913633890186233
1.46,-2.0,-9.713533890214464
1.46,-1.8,-9.513533890259053
1.46,-1.6,-9.313633890329463
1.46,-1.4,-9.113533890440825
1.46,-1.2,-8.913633890616605
1.46,-1.0,-8.713533890894626
1.46,-0.8,-8.513533891333738
1.46,-0.6,-8.313633892027116
1.46,-0.4,-8.113533893123805
1.46,-0.2,-7.913633894854844
1.46,0.0,-7.713533897592758
1.46,0.2,-7.513533901917058
1.46,0.4,-7.313633908745343
1.46,0.6,-7.113533919545365
1.46,0.8,-6.91363393659237
1.46,1.0,-6.713549908049731
1.46,1.2,-6.51353400613996
1.46,1.4,-6.313550017916801
1.46,1.6,-6.113550124227602
1.46,1.8,-5.913634347616883
1.46,2.0,-5.713634612973233
1.46,2.2,-5.513535032509724
1.46,2.4,-5.313551639561815
1.46,2.6,-5.113552686489188
1.46,2.8,-4.913638395302284
1.46,3.0,-4.713641008459372
1.46,3.2,-4.513545139911685
1.46,3.4,-4.313567608948988
1.46,3.6,-4.113577918439633
1.46,3.8,-3.9136782542704225
1.46,4.0,-3.7136040013333402
1.46,4.2,-3.5136446634884653
1.46,4.4,-3.3138088633005336
1.46,4.6,-3.114410004576856
1.46,4.8,-2.9174671802422356
1.46,5.0,-2.7293002831671767
1.46,5.2,-2.5619269084235676
1.46,5.4,-2.422876126177959
1.46,5.6,-2.307978089190286
1.46,5.8,-2.209317346431384
1.54,-6.0,-13.793533890137597
1.54,-5.8,-13.593533890137602
1.54,-5.6,-13.393549834635106
1.54,-5.4,-13.193533890137617
1.54,-5.2,-12.993549834635132
1.54,-5.0,-12.793533890137656
1.54,-4.8,-12.593533890137696
1.54,-4.6,-12.393549834635255
1.54,-4.4,-12.193533890137854
1.54,-4.2,-11.993549834635505
1.54,-4.0,-11.793533890138251
1.54,-3.8,-11.593533890138634
1.54,-3.6,-11.393549834636739
1.54,-3.4,-11.193533890140195
1.54,-3.2,-10.993549834639204
1.54,-3.0,-10.793533890144092
1.54,-2.8,-10.593533890147862
1.54,-2.6,-10.393549834651317
1.54,-2.4,-10.193533890163232
1.54,-2.2,-9.993549834675601
