Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.14,9.6,0.09952541749389783
1.14,9.8,0.1135328346319504
1.14,10.0,0.13451357998522662
1.14,10.2,0.1554943253385028
1.14,10.4,0.17647507069177923
1.14,10.6,0.19745581604505547
1.14,10.8,0.234469778595377
1.14,11.0,0.2736962716195904
1.14,11.2,0.31631100588635336
1.14,11.4,0.365822358623518
1.14,11.6,0.41762950914817076
1.14,11.8,0.4745538130878084
1.14,12.0,0.5347388086042358
1.14,12.2,0.5975596723097825
1.14,12.4,0.6651393052202115
1.14,12.6,0.734996467253481
1.14,12.8,0.8074347800543782
1.14,13.0,0.8833011120712805
1.14,13.2,0.9618253580235065
1.14,13.4,1.042698265410417
1.14,13.6,1.125909635180018
1.14,13.8,1.2114069198616497
1.14,14.0,1.2991356588535772
1.14,14.2,1.389193550749074
1.14,14.4,1.4811781867399807
1.14,14.6,1.5750087767151228
1.14,14.8,1.670598269704481
1.14,15.0,1.7678569790326968
1.14,15.2,1.866694904069592
1.14,15.4,1.967023473032815
1.22,-6.0,0.008099148753751737
1.22,-5.8,0.008099148753751737
1.22,-5.6,0.008099148753751737
1.22,-5.4,0.008099148753751737
1.22,-5.2,0.008099148753751737
1.22,-5.0,0.008099148753751737
1.22,-4.8,0.008099148753751737
1.22,-4.6,0.008099148753751737
1.22,-4.4,0.008099148753751737
1.22,-4.2,0.008099148753751737
1.22,-4.0,0.008099148753751737
1.22,-3.8,0.009443610890306806
1.22,-3.6,0.010788073026861933
1.22,-3.4,0.012132535163417004
1.22,-3.2,0.013476997299972116
1.22,-3.0,0.014821459436527223
1.22,-2.8,0.016165921573082328
1.22,-2.6,0.017510383709637423
1.22,-2.4,0.018854845846192545
1.22,-2.2,0.020199307982747616
1.22,-2.0,0.021543770119302672
1.22,-1.8,0.022888232255857833
1.22,-1.6,0.024232694392412886
1.22,-1.4,0.025577156528968047
1.22,-1.2,0.02692161866552314
1.22,-1.0,0.02826608080207824
1.22,-0.8,0.02961054293863335
1.22,-0.6,0.0309550050751884
1.22,-0.4,0.03229946721174349
1.22,-0.2,0.03364392934829864
1.22,0.0,0.03498839148485372
1.22,0.2,0.03633285362140885
1.22,0.4,0.0376773157579639
1.22,0.6,0.03902177789451902
1.22,0.8,0.04036624003107413
1.22,1.0,0.041710702167629246
1.22,1.2,0.04305516430418436
1.22,1.4,0.044399626440739436
1.22,1.6,0.04574408857729454
1.22,1.8,0.04708855071384967
1.22,2.0,0.04843301285040476
1.22,2.2,0.049777474986959884
1.22,2.4,0.051121937123514954
1.22,2.6,0.05246639926007002
1.22,2.8,0.053810861396625116
1.22,3.0,0.055155323533180235
1.22,3.2,0.05649978566973532
1.22,3.4,0.05784424780629044
1.22,3.6,0.0591887099428456
1.22,3.8,0.06053317207940065
1.22,4.0,0.06187763421595579
1.22,4.2,0.0632220963525109
1.22,4.4,0.06456655848906595
1.22,4.6,0.06591102062562108
1.22,4.8,0.06725548276217617
1.22,5.0,0.0685999448987313
1.22,5.2,0.06994440703528636
1.22,5.4,0.0712888691718415
1.22,5.6,0.07263333130839657
1.22,5.8,0.07397779344495167
1.22,6.0,0.07532225558150676
1.22,6.2,0.07666671771806188
1.22,6.4,0.07801117985461699
1.22,6.6,0.07935564199117204
1.22,6.8,0.08070010412772721
1.22,7.0,0.08204456626428228
1.22,7.2,0.0833890284008374
1.22,7.4,0.08473349053739253
1.22,7.6,0.08607795267394762
1.22,7.8,0.08742241481050267
1.22,8.0,0.08876687694705779
1.22,8.2,0.09011133908361289
1.22,8.4,0.09145580122016803
1.22,8.6,0.09280026335672312
1.22,8.8,0.09414472549327821
