Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.3,-3.8,0.9075503060526561
1.3,-3.6,0.9087385317730001
1.3,-3.4,0.9099267574933444
1.3,-3.2,0.9111149832136887
1.3,-3.0,0.9123032089340326
1.3,-2.8,0.9134914346543768
1.3,-2.6,0.9146796603747208
1.3,-2.4,0.9158678860950651
1.3,-2.2,0.9170561118154094
1.3,-2.0,0.9182443375357534
1.3,-1.8,0.9194325632560978
1.3,-1.6,0.9206207889764417
1.3,-1.4,0.921809014696786
1.3,-1.2,0.92299724041713
1.3,-1.0,0.9241854661374742
1.3,-0.8,0.9253736918578185
1.3,-0.6,0.9265619175781625
1.3,-0.4,0.9277501432985067
1.3,-0.2,0.9289383690188507
1.3,0.0,0.9301265947391949
1.3,0.2,0.9313148204595392
1.3,0.4,0.9325030461798832
1.3,0.6,0.9336912719002274
1.3,0.8,0.9348794976205714
1.3,1.0,0.9360677233409158
1.3,1.2,0.93725594906126
1.3,1.4,0.938444174781604
1.3,1.6,0.9396324005019482
1.3,1.8,0.9408206262222922
1.3,2.0,0.9420088519426366
1.3,2.2,0.9431970776629807
1.3,2.4,0.9443853033833248
1.3,2.6,0.945573529103669
1.3,2.8,0.9467617548240133
1.3,3.0,0.9479499805443573
1.3,3.2,0.9491382062647014
1.3,3.4,0.9503264319850455
1.3,3.6,0.9515146577053897
1.3,3.8,0.9527028834257341
1.3,4.0,0.953891109146078
1.3,4.2,0.9550793348664222
1.3,4.4,0.9562675605867663
1.3,4.6,0.9574557863071105
1.3,4.8,0.9586440120274548
1.3,5.0,0.9598322377477989
1.3,5.2,0.961020463468143
1.3,5.4,0.9622086891884871
1.3,5.6,0.9633969149088314
1.3,5.8,0.9645851406291754
1.3,6.0,0.9657733663495196
1.3,6.2,0.9669615920698637
1.3,6.4,0.9681498177902079
1.3,6.6,0.9693380435105521
1.3,6.8,0.9705262692308962
1.3,7.0,0.9717144949512404
1.3,7.2,0.9729027206715846
1.3,7.4,0.9740909463919286
1.3,7.6,0.9752791721122728
1.3,7.8,0.976467397832617
1.3,8.0,0.9776556235529612
1.3,8.2,0.9788438492733054
1.3,8.4,0.9800320749936494
1.3,8.6,0.9812203007139937
1.3,8.8,0.9824085264343377
1.3,9.0,0.9835967521546819
1.3,9.2,0.9847849778750261
1.3,9.4,0.9859732035953702
1.3,9.6,0.9871614293157144
1.3,9.8,0.9883496550360584
1.3,10.0,0.9895378807564027
1.3,10.2,0.9907261064767467
1.3,10.4,0.9919143321970911
1.3,10.6,0.9931025579174351
1.3,10.8,0.9942907836377792
1.3,11.0,0.9954790093581234
1.3,11.2,0.9966672350784676
1.3,11.4,0.9978554607988117
1.3,11.6,0.9990436865191558
1.3,11.8,1.0066019830983237
1.3,12.0,1.040427908317762
1.3,12.2,1.0742538335372003
1.3,12.4,1.1111470997307706
1.3,12.6,1.1578144537030486
1.3,12.8,1.2053022036925989
1.3,13.0,1.2605120284956148
1.3,13.2,1.3175711413677975
1.3,13.4,1.379275039634651
1.3,13.6,1.4444949654315575
1.3,13.8,1.5122649168408864
1.3,14.0,1.5837622444168848
1.3,14.2,1.6582927461332397
1.3,14.4,1.735271194019542
1.3,14.6,1.8147369634262043
1.3,14.8,1.896767255061573
1.3,15.0,1.9815155125725639
1.38,-6.0,0.9058713792201832
1.38,-5.8,0.9058713792201832
1.38,-5.6,0.9058713792201832
1.38,-5.4,0.9058713792201832
1.38,-5.2,0.9058713792201832
1.38,-5.0,0.9058713792201832
1.38,-4.8,0.9058713792201832
1.38,-4.6,0.9058713792201832
1.38,-4.4,0.9058713792201832
1.38,-4.2,0.9058713792201832
1.38,-4.0,0.9058713792201832
1.38,-3.8,0.9070658317171739
1.38,-3.6,0.9082602842141646
1.38,-3.4,0.9094547367111553
1.38,-3.2,0.910649189208146
1.38,-3.0,0.9118436417051368
1.38,-2.8,0.9130380942021273
1.38,-2.6,0.9142325466991179
1.38,-2.4,0.9154269991961087
1.38,-2.2,0.9166214516930995
1.38,-2.0,0.9178159041900902
1.38,-1.8,0.9190103566870809
1.38,-1.6,0.9202048091840714
1.38,-1.4,0.9213992616810622
1.38,-1.2,0.9225937141780528
1.38,-1.0,0.9237881666750435
1.38,-0.8,0.9249826191720343
1.38,-0.6,0.926177071669025
1.38,-0.4,0.9273715241660159
1.38,-0.2,0.9285659766630063
1.38,0.0,0.929760429159997
1.38,0.2,0.9309548816569878
1.38,0.4,0.9321493341539784
1.38,0.6,0.9333437866509693
1.38,0.8,0.9345382391479599
1.38,1.0,0.9357326916449505
1.38,1.2,0.9369271441419412
1.38,1.4,0.9381215966389319
1.38,1.6,0.9393160491359227
1.38,1.8,0.9405105016329133
1.38,2.0,0.941704954129904
1.38,2.2,0.9428994066268948
1.38,2.4,0.9440938591238854
1.38,2.6,0.9452883116208762
1.38,2.8,0.9464827641178668
1.38,3.0,0.9476772166148575
1.38,3.2,0.9488716691118481
1.38,3.4,0.9500661216088389
1.38,3.6,0.9512605741058295
1.38,3.8,0.9524550266028203
1.38,4.0,0.953649479099811
1.38,4.2,0.9548439315968016
1.38,4.4,0.9560383840937924
1.38,4.6,0.9572328365907831
1.38,4.8,0.9584272890877739
1.38,5.0,0.9596217415847644
1.38,5.2,0.9608161940817551
1.38,5.4,0.9620106465787459
1.38,5.6,0.9632050990757366
1.38,5.8,0.9643995515727272
1.38,6.0,0.965594004069718
1.38,6.2,0.9667884565667085
1.38,6.4,0.9679829090636993
1.38,6.6,0.96917736156069
1.38,6.8,0.9703718140576807
