Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.6,10.0,-0.192439918342765
1.6,10.2,-0.16716449423095442
1.6,10.4,-0.1384982072873388
1.6,10.6,-0.10636126572906374
1.6,10.8,-0.07071054470905529
1.6,11.0,-0.03128954129685772
1.6,11.2,0.012627087759980945
1.6,11.4,0.060355578473763175
1.6,11.6,0.11258850174138568
1.6,11.8,0.16885696124505842
1.6,12.0,0.22952440153440995
1.6,12.2,0.29429349247083986
1.6,12.4,0.3633129823506234
1.6,12.6,0.43336882432875623
1.68,-1.4,-9.79455615658904
1.68,-1.2,-9.594556155373796
1.68,-1.0,-9.391602230576785
1.68,-0.8,-9.187134417166293
1.68,-0.6,-1.537617638709585
1.68,-0.4,-1.5093025248132337
1.68,-0.2,-1.48098741028564
1.68,0.0,-1.4526722957580462
1.68,0.2,-1.42435717940702
1.68,0.4,-1.3960420622809417
1.68,0.6,-1.3677269434630288
1.68,0.8,-1.3394118179503014
1.68,1.0,-1.3110966924375742
1.68,1.2,-1.2827815484332143
1.68,1.4,-1.2544663965690177
1.68,1.6,-1.2261512278598523
1.68,1.8,-1.1978359924947872
1.68,2.0,-1.169520757129722
1.68,2.2,-1.141205336674758
1.68,2.4,-1.1128898375530545
1.68,2.6,-1.0845742191857888
1.68,2.8,-1.0562581290945272
1.68,3.0,-1.0279414366360353
1.68,3.2,-0.999624220984844
1.68,3.4,-0.9617608040429915
1.68,3.6,-0.2925768011202953
1.68,3.8,-0.29207339305170943
1.68,4.0,-0.29156998498312353
1.68,4.2,-0.2910665769145376
1.68,4.4,-0.29056316884595174
1.68,4.6,-0.2900597607773657
1.68,4.8,-0.28955635270877983
1.68,5.0,-0.28905294464019404
1.68,5.2,-0.2885495365716081
1.68,5.4,-0.2880461285030222
1.68,5.6,-0.2875427204344363
1.68,5.8,-0.2870393123658503
1.68,6.0,-0.28653590429726444
1.68,6.2,-0.2860324962286786
1.68,6.4,-0.28552908816009265
1.68,6.6,-0.28502568009150675
1.68,6.8,-0.2845222720229209
1.68,7.0,-0.28401886395433495
1.68,7.2,-0.28351545588574906
1.68,7.4,-0.2830120478171632
1.68,7.6,-0.28250863974857726
1.68,7.8,-0.28200523167999125
1.68,8.0,-0.2815018236114055
1.68,8.2,-0.2809984155428195
1.68,8.4,-0.28049500747423367
1.68,8.6,-0.2797751824527889
1.68,8.8,-0.27495353019156693
1.68,9.0,-0.2696224971580988
