Composition = 0
log temp (K), log pressure (dyne/cm^2), logdensity (g/cc)
1.46,2.8,-6.2789
1.46,3.0,-6.0789
1.46,3.2,-5.8788
1.46,3.4,-5.6788
1.46,3.6,-5.4788
1.46,3.8,-5.2789
1.46,4.0,-5.0788
1.46,4.2,-4.8788
1.46,4.4,-4.6789
1.46,4.6,-4.4794
1.46,4.8,-4.2823
1.46,5.0,-4.0939
1.46,5.2,-3.9262
1.46,5.4,-3.7868
1.46,5.6,-3.6715
1.46,5.8,-3.5724
1.54,-6.0,-15.1588
1.54,-5.8,-14.9588
1.54,-5.6,-14.7588
1.54,-5.4,-14.5588
1.54,-5.2,-14.3588
1.54,-5.0,-14.1588
1.54,-4.8,-13.9588
1.54,-4.6,-13.7588
1.54,-4.4,-13.5588
1.54,-4.2,-13.3588
1.54,-4.0,-13.1588
1.54,-3.8,-12.9588
1.54,-3.6,-12.7588
1.54,-3.4,-12.5588
1.54,-3.2,-12.3588
1.54,-3.0,-12.1588
1.54,-2.8,-11.9588
1.54,-2.6,-11.7588
1.54,-2.4,-11.5588
1.54,-2.2,-11.3588
1.54,-2.0,-11.1588
1.54,-1.8,-10.9588
1.54,-1.6,-10.7588
1.54,-1.4,-10.5588
1.54,-1.2,-10.3588
1.54,-1.0,-10.1588
1.54,-0.8,-9.9588
1.54,-0.6,-9.7588
1.54,-0.4,-9.5588
1.54,-0.2,-9.3588
1.54,0.0,-9.1588
1.54,0.2,-8.9588
1.54,0.4,-8.7588
1.54,0.6,-8.5588
1.54,0.8,-8.3588
1.54,1.0,-8.1588
1.54,1.2,-7.9588
1.54,1.4,-7.7588
1.54,1.6,-7.5588
1.54,1.8,-7.3588
1.54,2.0,-7.1588
1.54,2.2,-6.9588
1.54,2.4,-6.7588
1.54,2.6,-6.5588
1.54,2.8,-6.3588
1.54,3.0,-6.1588
1.54,3.2,-5.9588
1.54,3.4,-5.7588
1.54,3.6,-5.5588
1.54,3.8,-5.3588
1.54,4.0,-5.1588
1.54,4.2,-4.9588
1.54,4.4,-4.7588
1.54,4.6,-4.559
1.54,4.8,-4.3603
1.54,5.0,-4.1661
1.54,5.2,-3.9857
1.54,5.4,-3.8303
1.54,5.6,-3.7018
1.54,5.8,-3.5936
1.62,-6.0,-15.2388
1.62,-5.8,-15.0388
1.62,-5.6,-14.8388
1.62,-5.4,-14.6388
1.62,-5.2,-14.4388
1.62,-5.0,-14.2388
1.62,-4.8,-14.0388
1.62,-4.6,-13.8388
1.62,-4.4,-13.6388
1.62,-4.2,-13.4388
1.62,-4.0,-13.2388
1.62,-3.8,-13.0388
1.62,-3.6,-12.8388
1.62,-3.4,-12.6388
1.62,-3.2,-12.4388
1.62,-3.0,-12.2388
1.62,-2.8,-12.0388
1.62,-2.6,-11.8388
1.62,-2.4,-11.6388
1.62,-2.2,-11.4388
1.62,-2.0,-11.2388
1.62,-1.8,-11.0388
1.62,-1.6,-10.8388
1.62,-1.4,-10.6388
1.62,-1.2,-10.4388
1.62,-1.0,-10.2388
1.62,-0.8,-10.0388
1.62,-0.6,-9.8388
1.62,-0.4,-9.6388
1.62,-0.2,-9.4388
1.62,0.0,-9.2388
1.62,0.2,-9.0388
1.62,0.4,-8.8388
1.62,0.6,-8.6388
1.62,0.8,-8.4388
1.62,1.0,-8.2388
1.62,1.2,-8.0388
1.62,1.4,-7.8388
1.62,1.6,-7.6388
1.62,1.8,-7.4388
1.62,2.0,-7.2388
1.62,2.2,-7.0388
1.62,2.4,-6.8388
1.62,2.6,-6.6388
1.62,2.8,-6.4388
1.62,3.0,-6.2388
1.62,3.2,-6.0388
1.62,3.4,-5.8388
1.62,3.6,-5.6388
1.62,3.8,-5.4388
1.62,4.0,-5.2388
1.62,4.2,-5.0388
1.62,4.4,-4.8388
1.62,4.6,-4.6389
1.62,4.8,-4.4394
1.62,5.0,-4.2422
1.62,5.2,-4.0529
1.62,5.4,-3.8827
1.62,5.6,-3.7393
1.62,5.8,-3.6197
1.7,-6.0,-15.3188
1.7,-5.8,-15.1188
1.7,-5.6,-14.9188
1.7,-5.4,-14.7188
1.7,-5.2,-14.5188
1.7,-5.0,-14.3188
1.7,-4.8,-14.1188
1.7,-4.6,-13.9188
1.7,-4.4,-13.7188
1.7,-4.2,-13.5188
1.7,-4.0,-13.3188
1.7,-3.8,-13.1188
1.7,-3.6,-12.9188
1.7,-3.4,-12.7188
1.7,-3.2,-12.5188
1.7,-3.0,-12.3188
1.7,-2.8,-12.1188
1.7,-2.6,-11.9188
1.7,-2.4,-11.7188
1.7,-2.2,-11.5188
1.7,-2.0,-11.3188
1.7,-1.8,-11.1188
1.7,-1.6,-10.9188
1.7,-1.4,-10.7188
1.7,-1.2,-10.5188
1.7,-1.0,-10.3188
1.7,-0.8,-10.1188
1.7,-0.6,-9.9188
1.7,-0.4,-9.7188
1.7,-0.2,-9.5188
1.7,0.0,-9.3188
1.7,0.2,-9.1188
1.7,0.4,-8.9188
1.7,0.6,-8.7188
1.7,0.8,-8.5188
1.7,1.0,-8.3188
1.7,1.2,-8.1188
1.7,1.4,-7.9188
1.7,1.6,-7.7188
1.7,1.8,-7.5188
1.7,2.0,-7.3188
1.7,2.2,-7.1188
1.7,2.4,-6.9188
1.7,2.6,-6.7188
1.7,2.8,-6.5188
1.7,3.0,-6.3188
1.7,3.2,-6.1188
1.7,3.4,-5.9188
1.7,3.6,-5.7188
1.7,3.8,-5.5188
1.7,4.0,-5.3188
1.7,4.2,-5.1188
1.7,4.4,-4.9188
1.7,4.6,-4.7188
1.7,4.8,-4.519
1.7,5.0,-4.3203
1.7,5.2,-4.1257
1.7,5.4,-3.9437
1.7,5.6,-3.7849
1.7,5.8,-3.652
1.78,-6.0,-15.3988
1.78,-5.8,-15.1988
1.78,-5.6,-14.9988
1.78,-5.4,-14.7988
1.78,-5.2,-14.5988
1.78,-5.0,-14.3988
1.78,-4.8,-14.1988
1.78,-4.6,-13.9988
1.78,-4.4,-13.7988
1.78,-4.2,-13.5988
1.78,-4.0,-13.3988
1.78,-3.8,-13.1988
1.78,-3.6,-12.9988
1.78,-3.4,-12.7988
1.78,-3.2,-12.5988
1.78,-3.0,-12.3988
1.78,-2.8,-12.1988
1.78,-2.6,-11.9988
1.78,-2.4,-11.7988
1.78,-2.2,-11.5988
1.78,-2.0,-11.3988
1.78,-1.8,-11.1988
1.78,-1.6,-10.9988
1.78,-1.4,-10.7988
1.78,-1.2,-10.5988
1.78,-1.0,-10.3988
