Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.14,10.0,0.4927746892558139
1.14,10.2,0.49398830070598476
1.14,10.4,0.4952019121561556
1.14,10.6,0.49641552360632646
1.14,10.8,0.4976291350564972
1.14,11.0,0.4988427465066681
1.14,11.2,0.5015614934827266
1.14,11.4,0.5351866719260086
1.14,11.6,0.56881185036929
1.14,11.8,0.6034471686198148
1.14,12.0,0.6510098643776165
1.14,12.2,0.6985725601354182
1.14,12.4,0.755047207070515
1.14,12.6,0.8132386341956833
1.14,12.8,0.8769209137793068
1.14,13.0,0.944181973718879
1.14,13.2,1.0143993246793896
1.14,13.4,1.0884356606292194
1.14,13.6,1.1659417571881245
1.14,13.8,1.2461371917598814
1.14,14.0,1.329019267034472
1.14,14.2,1.4145150749286142
1.14,14.4,1.5025158425475857
1.14,14.6,1.5930768972353753
1.14,14.8,1.6858453810354714
1.14,15.0,1.7806407715774393
1.14,15.2,1.8773478639909096
1.14,15.4,1.9758489502917729
1.22,-5.0,0.4012493223705365
1.22,-4.8,0.4024691658814427
1.22,-4.6,0.403689009392349
1.22,-4.4,0.4049088529032552
1.22,-4.2,0.40612869641416144
1.22,-4.0,0.4073485399250677
1.22,-3.8,0.4085683834359739
1.22,-3.6,0.4097882269468801
1.22,-3.4,0.41100807045778637
1.22,-3.2,0.4122279139686926
1.22,-3.0,0.41344775747959894
1.22,-2.8,0.41466760099050515
1.22,-2.6,0.41588744450141135
1.22,-2.4,0.41710728801231756
1.22,-2.2,0.41832713152322387
1.22,-2.0,0.4195469750341301
1.22,-1.8,0.4207668185450363
1.22,-1.6,0.4219866620559426
1.22,-1.4,0.42320650556684886
1.22,-1.2,0.424426349077755
1.22,-1.0,0.4256461925886613
1.22,-0.8,0.4268660360995675
1.22,-0.6,0.42808587961047373
1.22,-0.4,0.42930572312137993
1.22,-0.2,0.43052556663228614
1.22,0.0,0.43174541014319245
1.22,0.2,0.43296525365409877
1.22,0.4,0.434185097165005
1.22,0.6,0.4354049406759111
1.22,0.8,0.4366247841868174
1.22,1.0,0.4378446276977237
1.22,1.2,0.4390644712086299
1.22,1.4,0.4402843147195361
1.22,1.6,0.4415041582304423
1.22,1.8,0.4427240017413485
1.22,2.0,0.44394384525225494
1.22,2.2,0.4451636887631611
1.22,2.4,0.44638353227406735
1.22,2.6,0.44760337578497356
1.22,2.8,0.44882321929587987
1.22,3.0,0.4500430628067861
1.22,3.2,0.4512629063176923
1.22,3.4,0.4524827498285986
1.22,3.6,0.4537025933395048
1.22,3.8,0.45492243685041106
1.22,4.0,0.4561422803613173
1.22,4.2,0.4573621238722235
1.22,4.4,0.45858196738312973
1.22,4.6,0.45980181089403593
1.22,4.8,0.46102165440494225
1.22,5.0,0.46224149791584845
1.22,5.2,0.4634613414267547
1.22,5.4,0.46468118493766086
1.22,5.6,0.4659010284485672
1.22,5.8,0.4671208719594735
